scrap_id,folder,scrap_area_in2,fixed_main_triangles,fixed_main_recovery_pct,fixed_anti_triangles,fixed_anti_recovery_pct,best_orientation_triangles,best_orientation_recovery_pct,greedy_triangles,greedy_recovery_pct
oren_scrap3_Polygon-2,oren,4.4426,4,45.0182,2,22.5091,4,45.0182,4,45.0182
oren_scrap3_Polygon-4,oren,2.4193,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap3_Polygon-12,oren,30.5993,38,62.0930,39,63.7270,39,63.7270,39,63.7270
oren_scrap3_Polygon-5,oren,2.6192,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap3_Polygon-19,oren,5.1603,5,48.4466,4,38.7573,5,48.4466,5,48.4466
oren_scrap3_Polygon-17,oren,9.1026,13,71.4083,12,65.9154,13,71.4083,13,71.4083
oren_scrap3_Polygon-16,oren,7.6282,8,52.4372,9,58.9919,9,58.9919,9,58.9919
oren_scrap3_Polygon-14,oren,7.5806,12,79.1495,12,79.1495,12,79.1495,12,79.1495
oren_scrap3_Polygon-20,oren,4.9401,4,40.4849,4,40.4849,4,40.4849,4,40.4849
oren_scrap3_Polygon-6,oren,3.0202,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap3_Polygon-15,oren,4.7137,4,42.4292,5,53.0365,5,53.0365,5,53.0365
oren_scrap3_Polygon-10,oren,0.8080,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap3_Polygon-7,oren,10.5343,12,56.9566,12,56.9566,12,56.9566,12,56.9566
oren_scrap3_Polygon-9,oren,0.9648,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap3_Polygon-3,oren,6.9406,8,57.6317,9,64.8356,9,64.8356,9,64.8356
oren_scrap3_Polygon-11,oren,3.9671,4,50.4149,4,50.4149,4,50.4149,4,50.4149
oren_scrap3_Polygon-8,oren,3.6217,3,41.4170,3,41.4170,3,41.4170,3,41.4170
oren_scrap3_Polygon-13,oren,5.4538,6,55.0072,8,73.3429,8,73.3429,8,73.3429
oren_scrap5_Polygon-3,oren,172.1865,308,89.4379,309,89.7283,309,89.7283,309,89.7283
oren_scrap5_Polygon-2,oren,186.5984,320,85.7456,320,85.7456,320,85.7456,320,85.7456
oren_scrap5_Polygon-4,oren,49.7272,75,75.4114,75,75.4114,75,75.4114,76,76.4169
fabscrap_scraps7_Polygon-3,fabscrap,97.6835,166,84.9683,167,85.4802,167,85.4802,167,85.4802
fabscrap_scraps7_Polygon-4,fabscrap,31.4599,50,79.4662,50,79.4662,50,79.4662,50,79.4662
fabscrap_scraps7_Polygon-2,fabscrap,15.1293,20,66.0969,20,66.0969,20,66.0969,20,66.0969
fabscrap_scraps8_Polygon-5,fabscrap,39.9515,70,87.6061,71,88.8577,71,88.8577,71,88.8577
fabscrap_scraps8_Polygon-3,fabscrap,2.5950,2,38.5356,2,38.5356,2,38.5356,2,38.5356
fabscrap_scraps8_Polygon-2,fabscrap,59.0979,98,82.9132,99,83.7593,99,83.7593,99,83.7593
fabscrap_scraps8_Polygon-6,fabscrap,118.0640,215,91.0523,214,90.6288,215,91.0523,215,91.0523
fabscrap_scraps8_Polygon-4,fabscrap,2.4259,0,0.0000,0,0.0000,0,0.0000,0,0.0000
fabscrap_scraps10_Polygon-6,fabscrap,2.5395,0,0.0000,0,0.0000,0,0.0000,0,0.0000
fabscrap_scraps10_Polygon-4,fabscrap,5.4185,8,73.8215,8,73.8215,8,73.8215,8,73.8215
fabscrap_scraps10_Polygon-3,fabscrap,4.1915,2,23.8578,3,35.7866,3,35.7866,3,35.7866
fabscrap_scraps10_Polygon-10,fabscrap,37.4066,56,74.8531,58,77.5264,58,77.5264,58,77.5264
fabscrap_scraps10_Polygon-7,fabscrap,19.4798,30,77.0029,30,77.0029,30,77.0029,30,77.0029
fabscrap_scraps10_Polygon-8,fabscrap,15.8520,20,63.0833,21,66.2375,21,66.2375,21,66.2375
fabscrap_scraps10_Polygon-9,fabscrap,3.0578,0,0.0000,0,0.0000,0,0.0000,0,0.0000
fabscrap_scraps10_Polygon-2,fabscrap,109.4982,185,84.4763,186,84.9329,186,84.9329,187,85.3896
fabscrap_scraps10_Polygon-5,fabscrap,5.5782,8,71.7077,8,71.7077,8,71.7077,8,71.7077
fabscrap_scraps5_Polygon-7,fabscrap,3.9827,2,25.1087,2,25.1087,2,25.1087,2,25.1087
fabscrap_scraps5_Polygon-5,fabscrap,4.8226,4,41.4717,4,41.4717,4,41.4717,4,41.4717
fabscrap_scraps5_Polygon-6,fabscrap,4.2615,4,46.9314,4,46.9314,4,46.9314,4,46.9314
fabscrap_scraps5_Polygon-8,fabscrap,30.8606,48,77.7690,48,77.7690,48,77.7690,48,77.7690
fabscrap_scraps5_Polygon-2,fabscrap,15.8071,24,75.9151,24,75.9151,24,75.9151,24,75.9151
fabscrap_scraps5_Polygon-3,fabscrap,4.9264,4,40.5978,4,40.5978,4,40.5978,4,40.5978
fabscrap_scraps5_Polygon-9,fabscrap,21.1528,25,59.0938,24,56.7301,25,59.0938,25,59.0938
fabscrap_scraps5_Polygon-4,fabscrap,4.7963,7,72.9722,6,62.5476,7,72.9722,7,72.9722
fabscrap_scraps6_Polygon-4,fabscrap,4.5104,2,22.1712,2,22.1712,2,22.1712,2,22.1712
fabscrap_scraps6_Polygon-3,fabscrap,5.2997,4,37.7380,4,37.7380,4,37.7380,4,37.7380
fabscrap_scraps6_Polygon-2,fabscrap,5.2609,8,76.0324,8,76.0324,8,76.0324,8,76.0324
fabscrap_scraps9_Polygon-2,fabscrap,125.7619,234,93.0330,234,93.0330,234,93.0330,234,93.0330
fabscrap_scraps9_Polygon-3,fabscrap,96.6544,157,81.2172,158,81.7345,158,81.7345,158,81.7345
fabscrap_scraps9_Polygon-4,fabscrap,105.3664,180,85.4162,180,85.4162,180,85.4162,180,85.4162
bag1_scrap1_Polygon-2,bag1,96.9210,161,83.0573,160,82.5414,161,83.0573,161,83.0573
bag1_scrap1_Polygon-4,bag1,135.6211,243,89.5878,243,89.5878,243,89.5878,244,89.9565
bag1_scrap1_Polygon-3,bag1,120.4320,210,87.1862,211,87.6013,211,87.6013,211,87.6013
bag1_scrap1_Polygon-5,bag1,72.6440,116,79.8414,115,79.1531,116,79.8414,119,81.9063
bag1_scrap4_Polygon-2,bag1,26.1979,38,72.5250,41,78.2507,41,78.2507,41,78.2507
bag1_scrap4_Polygon-7,bag1,162.9104,275,84.4022,274,84.0953,275,84.4022,275,84.4022
bag1_scrap4_Polygon-3,bag1,60.5483,104,85.8819,104,85.8819,104,85.8819,104,85.8819
bag1_scrap4_Polygon-5,bag1,36.5174,60,82.1526,60,82.1526,60,82.1526,60,82.1526
bag1_scrap4_Polygon-4,bag1,23.4287,32,68.2924,32,68.2924,32,68.2924,32,68.2924
bag1_scrap4_Polygon-6,bag1,32.2565,47,72.8535,48,74.4036,48,74.4036,49,75.9537
bag1_scrap3_Polygon-2,bag1,27.2031,40,73.5211,40,73.5211,40,73.5211,40,73.5211
bag1_scrap3_Polygon-4,bag1,200.2724,345,86.1327,345,86.1327,345,86.1327,345,86.1327
bag1_scrap3_Polygon-5,bag1,47.8742,72,75.1971,72,75.1971,72,75.1971,72,75.1971
bag1_scrap3_Polygon-3,bag1,134.2807,227,84.5244,227,84.5244,227,84.5244,228,84.8968
bag1_scrap9_Polygon-5,bag1,58.7794,91,77.4081,92,78.2587,92,78.2587,93,79.1094
bag1_scrap9_Polygon-4,bag1,80.4361,122,75.8366,124,77.0798,124,77.0798,124,77.0798
