scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
oren_scrap2_Polygon-14,oren,0.87,0,0.00,0,0.00,0,0.00
oren_scrap2_Polygon-23,oren,3.40,3,44.07,0,0.00,4,58.76
oren_scrap2_Polygon-13,oren,3.09,2,32.32,2,32.32,1,16.16
oren_scrap2_Polygon-16,oren,4.44,1,11.26,0,0.00,5,56.30
oren_scrap2_Polygon-27,oren,17.60,26,73.87,26,73.87,23,65.34
oren_scrap2_Polygon-20,oren,1.10,0,0.00,0,0.00,0,0.00
oren_scrap2_Polygon-26,oren,5.11,5,48.95,4,39.16,3,29.37
oren_scrap2_Polygon-22,oren,2.43,1,20.54,1,20.54,2,41.08
oren_scrap2_Polygon-2,oren,14.82,23,77.58,20,67.46,18,60.72
oren_scrap2_Polygon-6,oren,7.09,9,63.48,7,49.37,7,49.37
oren_scrap2_Polygon-7,oren,2.70,0,0.00,3,55.56,0,0.00
oren_scrap2_Polygon-10,oren,40.30,64,79.40,42,52.11,58,71.96
oren_scrap2_Polygon-5,oren,2.27,2,44.00,1,22.00,2,44.00
oren_scrap2_Polygon-9,oren,38.98,61,78.25,42,53.88,58,74.41
oren_scrap2_Polygon-3,oren,4.32,4,46.25,5,57.81,4,46.25
oren_scrap2_Polygon-18,oren,1.62,0,0.00,1,30.81,0,0.00
oren_scrap2_Polygon-11,oren,1.25,0,0.00,0,0.00,1,39.90
oren_scrap2_Polygon-21,oren,0.94,0,0.00,0,0.00,0,0.00
oren_scrap2_Polygon-17,oren,4.51,6,66.55,0,0.00,5,55.46
oren_scrap2_Polygon-4,oren,1.78,2,56.18,0,0.00,1,28.09
oren_scrap2_Polygon-19,oren,1.47,0,0.00,2,68.01,0,0.00
oren_scrap2_Polygon-12,oren,1.80,0,0.00,2,55.65,0,0.00
oren_scrap2_Polygon-25,oren,5.09,4,39.27,4,39.27,3,29.46
oren_scrap2_Polygon-15,oren,1.58,0,0.00,0,0.00,1,31.66
oren_scrap2_Polygon-8,oren,3.56,2,28.07,3,42.10,2,28.07
oren_scrap2_Polygon-24,oren,2.84,2,35.26,1,17.63,2,35.26
oren_scrap1_Polygon-2,oren,7.98,8,50.13,10,62.66,8,50.13
oren_scrap1_Polygon-7,oren,2.39,1,20.91,2,41.83,1,20.91
oren_scrap1_Polygon-4,oren,7.11,8,56.25,10,70.31,6,42.19
oren_scrap1_Polygon-9,oren,510.15,938,91.93,937,91.84,961,94.19
oren_scrap1_Polygon-6,oren,2.71,4,73.78,2,36.89,1,18.45
oren_scrap1_Polygon-3,oren,4.14,2,24.15,4,48.30,2,24.15
oren_scrap1_Polygon-5,oren,1.32,0,0.00,0,0.00,0,0.00
oren_scrap1_Polygon-8,oren,4.59,4,43.57,4,43.57,4,43.57
oren_scrap4_Polygon-2,oren,1.05,0,0.00,0,0.00,0,0.00
oren_scrap4_Polygon-7,oren,5.30,6,56.62,6,56.62,5,47.18
oren_scrap4_Polygon-3,oren,1.31,0,0.00,0,0.00,0,0.00
oren_scrap4_Polygon-8,oren,14.03,21,74.86,19,67.73,17,60.60
oren_scrap4_Polygon-9,oren,9.96,12,60.26,14,70.30,11,55.23
oren_scrap4_Polygon-10,oren,54.70,90,82.27,88,80.44,88,80.44
oren_scrap4_Polygon-11,oren,10.55,13,61.59,10,47.38,13,61.59
oren_scrap4_Polygon-5,oren,10.00,12,60.03,12,60.03,10,50.02
oren_scrap4_Polygon-4,oren,42.47,65,76.53,62,73.00,67,78.89
oren_scrap4_Polygon-6,oren,12.38,14,56.54,16,64.62,11,44.43
oren_scrap3_Polygon-18,oren,8.33,11,66.04,10,60.04,9,54.03
